bancarizado,codigodepartamentoatencion,codigomunicipioatencion,discapacidad,estadobeneficiario,etnia,fechainscripcionbeneficiario,genero,nivelescolaridad,nombredepartamentoatencion,nombremunicipioatencion,pais,tipoasignacionbeneficio,tipobeneficio,tipodocumento,tipopoblacion,rangobeneficioconsolidadoasignado,rangoultimobeneficioasignado,fechaultimobeneficioasignado,rangoedad,titular,cantidaddebeneficiarios
NO,15,15572,SI,ACTIVO,ND,2012-12-01,Mujer,ND,BOYACA,PUERTO BOYACA,ND,ND,ND,TI,DESPLAZADOS,0 - 1.500.000,0 - 1.300.000,1900-01-01,06-17,NO,1
NO,15,15572,NO,ACTIVO,ND,2013-08-01,Mujer,PRIMARIA,BOYACA,PUERTO BOYACA,ND,ND,EDUCACIÓN PRIMARIA,TI,DESPLAZADOS,0 - 1.500.000,0 - 1.300.000,1900-01-01,06-17,NO,3
ND,15,15572,NO,ACTIVO,ND,2015-09-01,Mujer,ND,BOYACA,PUERTO BOYACA,Colombia,MONETARIO,NUTRICIÓN,No Definido,DESPLAZADOS,3.000.001 - 4.500.000,0 - 1.300.000,2018-01-01,30-49,SI,1
SI,15,15572,NO,ACTIVO,ND,2012-12-01,Mujer,ND,BOYACA,PUERTO BOYACA,ND,MONETARIO,ND,CC,UNIDOS,0 - 1.500.000,0 - 1.300.000,2018-01-01,>65,SI,1
NO,15,15572,NO,ACTIVO,ND,2012-12-01,Hombre,ND,BOYACA,PUERTO BOYACA,Colombia,ND,EDUCACIÓN PRIMARIA,TI,UNIDOS,0 - 1.500.000,0 - 1.300.000,1900-01-01,18-29,NO,3
NO,15,15572,NO,ACTIVO,ND,2015-11-01,Hombre,ND,BOYACA,PUERTO BOYACA,ND,ND,ND,CC,DESPLAZADOS,0 - 1.500.000,0 - 1.300.000,1900-01-01,18-29,NO,1
NO,15,15572,NO,ACTIVO,ND,2012-12-01,Hombre,PRIMARIA,BOYACA,PUERTO BOYACA,ND,ND,EDUCACIÓN PRIMARIANUTRICIÓN MENOR,RC,SISBEN,0 - 1.500.000,0 - 1.300.000,1900-01-01,06-17,NO,4
NO,15,15572,NO,ACTIVO,ND,2014-08-01,Mujer,PRIMARIA,BOYACA,PUERTO BOYACA,ND,ND,EDUCACIÓN PRIMARIA,RC,DESPLAZADOS,0 - 1.500.000,0 - 1.300.000,1900-01-01,06-17,NO,1
ND,15,15572,NO,NO ACTIVO,ND,2012-12-01,Mujer,ND,BOYACA,PUERTO BOYACA,Colombia,ND,ND,TI,UNIDOS,0 - 1.500.000,0 - 1.300.000,1900-01-01,18-29,NO,1
ND,15,15572,NO,ACTIVO,ND,2012-12-01,Mujer,ND,BOYACA,PUERTO BOYACA,Colombia,ND,ND,TI,SISBEN,0 - 1.500.000,0 - 1.300.000,1900-01-01,18-29,NO,1
SI,15,15572,NO,NO ACTIVO,ND,2012-12-01,Mujer,ND,BOYACA,PUERTO BOYACA,ND,MONETARIO,ND,CC,SISBEN,0 - 1.500.000,0 - 1.300.000,2014-01-01,>65,SI,1
NO,15,15572,NO,NO ACTIVO,ND,2012-12-01,Mujer,ND,BOYACA,PUERTO BOYACA,ND,MONETARIO,ND,CC,UNIDOS,0 - 1.500.000,0 - 1.300.000,2015-01-01,18-29,SI,1
NO,15,15572,NO,ACTIVO,ND,2014-09-01,Mujer,PRIMARIA,BOYACA,PUERTO BOYACA,ND,ND,EDUCACIÓN PRIMARIA,TI,DESPLAZADOS,0 - 1.500.000,0 - 1.300.000,1900-01-01,06-17,NO,2
NO,15,15572,NO,ACTIVO,ND,2013-06-01,Hombre,ND,BOYACA,PUERTO BOYACA,ND,ND,ND,TI,DESPLAZADOS,0 - 1.500.000,0 - 1.300.000,1900-01-01,18-29,NO,2
SI,15,15572,NO,ACTIVO,ND,2012-12-01,Hombre,ND,BOYACA,PUERTO BOYACA,ND,MONETARIO,ND,CC,DESPLAZADOS,0 - 1.500.000,0 - 1.300.000,2018-01-01,30-49,SI,1
NO,15,15572,NO,ACTIVO,ND,2015-08-01,Hombre,TRANSICION,BOYACA,PUERTO BOYACA,ND,ND,TRANSICIÓNNUTRICIÓN MENOR,RC,SISBEN,0 - 1.500.000,0 - 1.300.000,1900-01-01,06-17,NO,1
NO,15,15572,NO,ACTIVO,ND,2014-12-01,Mujer,SECUNDARIA,BOYACA,PUERTO BOYACA,ND,ND,EDUCACIÓN SECUNDARIA,TI,DESPLAZADOS,0 - 1.500.000,0 - 1.300.000,1900-01-01,18-29,NO,2
NO,15,15572,NO,NO ACTIVO,ND,2013-03-01,Mujer,ND,BOYACA,PUERTO BOYACA,ND,ND,ND,TI,DESPLAZADOS,0 - 1.500.000,0 - 1.300.000,1900-01-01,18-29,NO,1
NO,15,15572,NO,ACTIVO,ND,2013-11-01,Mujer,PRIMARIA,BOYACA,PUERTO BOYACA,ND,ND,EDUCACIÓN PRIMARIA,TI,DESPLAZADOS,0 - 1.500.000,0 - 1.300.000,1900-01-01,06-17,NO,1
SI,15,15572,NO,ACTIVO,AFROCOLOMBIANO – NEGRO,2012-12-01,Mujer,ND,BOYACA,PUERTO BOYACA,ND,MONETARIO,ND,CC,SISBEN,3.000.001 - 4.500.000,0 - 1.300.000,2018-01-01,50-65,SI,1
NO,15,15572,NO,ACTIVO,ND,2012-12-01,Mujer,PRIMARIA,BOYACA,PUERTO BOYACA,ND,ND,EDUCACIÓN PRIMARIANUTRICIÓN MENOR,RC,SISBEN,0 - 1.500.000,0 - 1.300.000,1900-01-01,06-17,NO,10
NO,15,15572,NO,ACTIVO,ND,2014-08-01,Mujer,PRIMARIA,BOYACA,PUERTO BOYACA,ND,ND,EDUCACIÓN PRIMARIA,TI,DESPLAZADOS,0 - 1.500.000,0 - 1.300.000,1900-01-01,06-17,NO,1
NO,15,15572,NO,NO ACTIVO,ND,2012-12-01,Mujer,ND,BOYACA,PUERTO BOYACA,ND,MONETARIO,ND,CC,SISBEN,4.500.001 - 6.000.000,0 - 1.300.000,2018-01-01,18-29,SI,1
SI,15,15572,NO,ACTIVO,AFROCOLOMBIANO – NEGRO,2012-12-01,Mujer,ND,BOYACA,PUERTO BOYACA,ND,MONETARIO,ND,CC,SISBEN,4.500.001 - 6.000.000,0 - 1.300.000,2018-01-01,50-65,SI,1
NO,15,15572,NO,NO ACTIVO,ND,2012-12-01,Mujer,ND,BOYACA,PUERTO BOYACA,ND,ND,EDUCACIÓN PRIMARIANUTRICIÓN MENOR,RC,UNIDOS,0 - 1.500.000,0 - 1.300.000,1900-01-01,06-17,NO,1
NO,15,15572,NO,ACTIVO,ND,2012-12-01,Hombre,TRANSICION,BOYACA,PUERTO BOYACA,ND,ND,TRANSICIÓNNUTRICIÓN MENOR,RC,UNIDOS,0 - 1.500.000,0 - 1.300.000,1900-01-01,06-17,NO,19
SI,15,15572,NO,NO ACTIVO,ND,2012-12-01,Mujer,ND,BOYACA,PUERTO BOYACA,Colombia,MONETARIO,ND,CC,ND,0 - 1.500.000,0 - 1.300.000,2014-01-01,>65,SI,1
ND,15,15572,NO,ACTIVO,ND,2012-12-01,Mujer,ND,BOYACA,PUERTO BOYACA,Colombia,ND,TRANSICIÓNNUTRICIÓN MENOR,RC,UNIDOS,0 - 1.500.000,0 - 1.300.000,1900-01-01,06-17,NO,1
SI,15,15572,NO,NO ACTIVO,ND,2012-12-01,Mujer,ND,BOYACA,PUERTO BOYACA,Colombia,MONETARIO,NUTRICIÓN,CC,ND,1.500.001 - 3.000.000,0 - 1.300.000,2014-01-01,50-65,SI,1
NO,15,15572,NO,ACTIVO,ND,2012-12-01,Mujer,TRANSICION,BOYACA,PUERTO BOYACA,ND,ND,TRANSICIÓNNUTRICIÓN MENOR,RC,UNIDOS,0 - 1.500.000,0 - 1.300.000,1900-01-01,06-17,NO,12
NO,15,15572,NO,NO ACTIVO,ND,2012-12-01,Mujer,ND,BOYACA,PUERTO BOYACA,ND,ND,EDUCACIÓN PRIMARIANUTRICIÓN MENOR,RC,ND,0 - 1.500.000,0 - 1.300.000,1900-01-01,06-17,NO,4
ND,15,15572,ND,ACTIVO,ND,2012-12-01,Mujer,ND,BOYACA,PUERTO BOYACA,Colombia,MONETARIO,ND,CC,SISBEN,1.500.001 - 3.000.000,0 - 1.300.000,2018-01-01,30-49,SI,1
NO,15,15572,NO,ACTIVO,ND,2017-04-01,Hombre,ND,BOYACA,PUERTO BOYACA,ND,ND,NUTRICIÓN MENOR,RC,DESPLAZADOS,0 - 1.500.000,0 - 1.300.000,1900-01-01,06-17,NO,2
NO,15,15572,NO,ACTIVO,ND,2012-12-01,Hombre,ND,BOYACA,PUERTO BOYACA,ND,MONETARIO,ND,CC,UNIDOS,1.500.001 - 3.000.000,0 - 1.300.000,2018-01-01,>65,SI,1
ND,15,15572,ND,ACTIVO,ND,2012-12-01,Mujer,ND,BOYACA,PUERTO BOYACA,Colombia,MONETARIO,ND,CC,DESPLAZADOS,1.500.001 - 3.000.000,0 - 1.300.000,2018-01-01,30-49,SI,1
ND,15,15572,ND,ACTIVO,INDIGENA,2014-12-01,Mujer,ND,BOYACA,PUERTO BOYACA,Colombia,ND,ND,TI,DESPLAZADOS,0 - 1.500.000,0 - 1.300.000,1900-01-01,18-29,NO,1
ND,15,15572,ND,ACTIVO,ND,2015-06-01,Mujer,ND,BOYACA,PUERTO BOYACA,Colombia,ND,TRANSICIÓNNUTRICIÓN MENOR,RC,DESPLAZADOS,0 - 1.500.000,0 - 1.300.000,1900-01-01,06-17,NO,1
SI,15,15572,NO,ACTIVO,ND,2015-04-01,Mujer,ND,BOYACA,PUERTO BOYACA,ND,MONETARIO,ND,CC,DESPLAZADOS,0 - 1.500.000,0 - 1.300.000,2018-01-01,50-65,SI,1
ND,15,15572,ND,ACTIVO,ND,2017-05-01,Hombre,ND,BOYACA,PUERTO BOYACA,Colombia,ND,TRANSICIÓNNUTRICIÓN MENOR,RC,DESPLAZADOS,0 - 1.500.000,0 - 1.300.000,1900-01-01,06-17,NO,1
SI,15,15572,NO,ACTIVO,ND,2013-10-01,Mujer,ND,BOYACA,PUERTO BOYACA,ND,MONETARIO,ND,CC,DESPLAZADOS,> 6.000.001,0 - 1.300.000,2018-01-01,30-49,SI,1
SI,15,15572,NO,ACTIVO,ND,2015-11-01,Mujer,ND,BOYACA,PUERTO BOYACA,ND,MONETARIO,ND,CC,DESPLAZADOS,0 - 1.500.000,0 - 1.300.000,2018-01-01,50-65,SI,1
SI,15,15572,NO,NO ACTIVO,ND,2012-12-01,Mujer,ND,BOYACA,PUERTO BOYACA,Colombia,MONETARIO,NUTRICIÓN,CC,UNIDOS,0 - 1.500.000,0 - 1.300.000,2015-01-01,30-49,SI,1
ND,15,15572,ND,NO ACTIVO,ND,2012-12-01,Hombre,ND,BOYACA,PUERTO BOYACA,Colombia,ND,EDUCACIÓN PRIMARIA,TI,ND,0 - 1.500.000,0 - 1.300.000,1900-01-01,18-29,NO,1
ND,15,15572,ND,ACTIVO,ND,2016-11-01,Hombre,ND,BOYACA,PUERTO BOYACA,Colombia,ND,ND,No Definido,DESPLAZADOS,0 - 1.500.000,0 - 1.300.000,1900-01-01,06-17,NO,1
SI,15,15572,NO,ACTIVO,ND,2012-12-01,Mujer,ND,BOYACA,PUERTO BOYACA,ND,MONETARIO,ND,CC,UNIDOS,0 - 1.500.000,0 - 1.300.000,2018-01-01,50-65,SI,2
SI,15,15572,NO,ACTIVO,AFROCOLOMBIANO – NEGRO,2012-12-01,Mujer,ND,BOYACA,PUERTO BOYACA,ND,MONETARIO,ND,CC,UNIDOS,> 6.000.001,0 - 1.300.000,2018-01-01,30-49,SI,1
NO,15,15572,NO,ACTIVO,ND,2013-08-01,Hombre,SECUNDARIA,BOYACA,PUERTO BOYACA,ND,ND,EDUCACIÓN SECUNDARIA,TI,DESPLAZADOS,0 - 1.500.000,0 - 1.300.000,1900-01-01,18-29,NO,2
NO,15,15572,NO,NO ACTIVO,ND,2013-01-01,Hombre,ND,BOYACA,PUERTO BOYACA,ND,ND,ND,TI,DESPLAZADOS,0 - 1.500.000,0 - 1.300.000,1900-01-01,18-29,NO,1
NO,15,15572,NO,ACTIVO,ND,2017-07-01,Mujer,ND,BOYACA,PUERTO BOYACA,ND,ND,NUTRICIÓN MENOR,RC,SISBEN,0 - 1.500.000,0 - 1.300.000,1900-01-01,06-17,NO,12
NO,15,15572,NO,ACTIVO,ND,2014-11-01,Mujer,ND,BOYACA,PUERTO BOYACA,ND,ND,ND,TI,DESPLAZADOS,0 - 1.500.000,0 - 1.300.000,1900-01-01,18-29,NO,2
ND,15,15572,ND,NO ACTIVO,AFROCOLOMBIANO – NEGRO,2012-10-01,Mujer,ND,BOYACA,PUERTO BOYACA,Colombia,MONETARIO,ND,CC,UNIDOS,0 - 1.500.000,0 - 1.300.000,2015-01-01,18-29,SI,1
NO,15,15572,NO,ACTIVO,ND,2013-06-01,Mujer,ND,BOYACA,PUERTO BOYACA,ND,ND,ND,TI,DESPLAZADOS,0 - 1.500.000,0 - 1.300.000,1900-01-01,18-29,NO,2
ND,15,15572,NO,ACTIVO,ND,2012-12-01,Mujer,ND,BOYACA,PUERTO BOYACA,ND,ND,EDUCACIÓN PRIMARIA,TI,SISBEN,0 - 1.500.000,0 - 1.300.000,1900-01-01,06-17,NO,1
NO,15,15572,NO,NO ACTIVO,ND,2012-12-01,Mujer,ND,BOYACA,PUERTO BOYACA,Colombia,ND,EDUCACIÓN SECUNDARIA,TI,ND,0 - 1.500.000,0 - 1.300.000,1900-01-01,18-29,NO,157
NO,15,15572,NO,ACTIVO,ND,2012-12-01,Mujer,ND,BOYACA,PUERTO BOYACA,ND,MONETARIO,ND,CC,SISBEN,0 - 1.500.000,0 - 1.300.000,2015-01-01,30-49,NO,1
SI,15,15572,NO,ACTIVO,ND,2012-12-01,Mujer,ND,BOYACA,PUERTO BOYACA,ND,MONETARIO,ND,CC,SISBEN,3.000.001 - 4.500.000,0 - 1.300.000,2018-01-01,50-65,SI,1
NO,15,15572,NO,ACTIVO,ND,2015-10-01,Hombre,ND,BOYACA,PUERTO BOYACA,ND,ND,ND,RC,SISBEN,0 - 1.500.000,0 - 1.300.000,1900-01-01,06-17,NO,1
NO,15,15572,NO,NO ACTIVO,ND,2012-12-01,Mujer,ND,BOYACA,PUERTO BOYACA,ND,ND,ND,TI,UNIDOS,0 - 1.500.000,0 - 1.300.000,1900-01-01,18-29,NO,109
ND,15,15572,NO,ACTIVO,ND,2012-12-01,Mujer,ND,BOYACA,PUERTO BOYACA,Colombia,ND,EDUCACIÓN PRIMARIA,RC,SISBEN,0 - 1.500.000,0 - 1.300.000,1900-01-01,06-17,NO,1
ND,15,15572,ND,ACTIVO,ND,2012-12-01,Hombre,ND,BOYACA,PUERTO BOYACA,Colombia,ND,ND,CC,UNIDOS,0 - 1.500.000,0 - 1.300.000,1900-01-01,18-29,NO,2
ND,15,15572,ND,ACTIVO,ND,2012-12-01,Mujer,ND,BOYACA,PUERTO BOYACA,Colombia,MONETARIO,ND,CC,UNIDOS,0 - 1.500.000,0 - 1.300.000,2018-01-01,50-65,SI,1
SI,15,15572,NO,NO ACTIVO,ND,2012-12-01,Mujer,ND,BOYACA,PUERTO BOYACA,ND,MONETARIO,ND,TI,SISBEN,1.500.001 - 3.000.000,0 - 1.300.000,2015-01-01,18-29,NO,1
NO,15,15572,ND,ACTIVO,ND,2017-03-01,Mujer,ND,BOYACA,PUERTO BOYACA,Colombia,MONETARIO,ND,CC,DESPLAZADOS,0 - 1.500.000,0 - 1.300.000,2018-01-01,30-49,SI,1
NO,15,15572,NO,ACTIVO,ND,2012-12-01,Mujer,ND,BOYACA,PUERTO BOYACA,ND,MONETARIO,ND,CC,UNIDOS,4.500.001 - 6.000.000,0 - 1.300.000,2018-01-01,30-49,SI,1
ND,15,15572,ND,ACTIVO,AFROCOLOMBIANO – NEGRO,2012-12-01,Mujer,ND,BOYACA,PUERTO BOYACA,Colombia,MONETARIO,ND,CC,UNIDOS,3.000.001 - 4.500.000,0 - 1.300.000,2018-01-01,30-49,SI,1
ND,15,15572,ND,ACTIVO,ND,2014-07-01,Mujer,ND,BOYACA,PUERTO BOYACA,Colombia,MONETARIO,NUTRICIÓN,CC,DESPLAZADOS,3.000.001 - 4.500.000,0 - 1.300.000,2018-01-01,30-49,SI,1
ND,15,15572,ND,ACTIVO,ND,2017-07-01,Mujer,ND,BOYACA,PUERTO BOYACA,Colombia,ND,NUTRICIÓN MENOR,No Definido,SISBEN,0 - 1.500.000,0 - 1.300.000,1900-01-01,06-17,NO,1
SI,15,15572,NO,ACTIVO,ND,2012-12-01,Mujer,ND,BOYACA,PUERTO BOYACA,ND,MONETARIO,NUTRICIÓN,CC,SISBEN,4.500.001 - 6.000.000,0 - 1.300.000,2018-01-01,30-49,SI,1
ND,15,15572,ND,ACTIVO,AFROCOLOMBIANO – NEGRO,2012-12-01,Mujer,ND,BOYACA,PUERTO BOYACA,Colombia,MONETARIO,ND,CC,UNIDOS,0 - 1.500.000,0 - 1.300.000,2018-01-01,50-65,SI,1
NO,15,15572,NO,ACTIVO,ND,2013-01-01,Mujer,PRIMARIA,BOYACA,PUERTO BOYACA,ND,ND,EDUCACIÓN PRIMARIA,RC,DESPLAZADOS,0 - 1.500.000,0 - 1.300.000,1900-01-01,06-17,NO,1
NO,15,15572,NO,ACTIVO,ND,2012-12-01,Mujer,ND,BOYACA,PUERTO BOYACA,ND,ND,EDUCACIÓN PRIMARIA,RC,SISBEN,0 - 1.500.000,0 - 1.300.000,1900-01-01,06-17,NO,2
